checkpoint,new_value1,new_value2,new_value3
PDCdb_ssc_psc_cpu_peak,40.9,39.9,43.4
PDCdb_ssc_psc_cpu_avg,33.7,33,35.1
PDCdb_gsc_ssc_psc_cpu_peak,33.9,40.7,43.9
PDCdb_gsc_ssc_psc_cpu_avg,33.6,34.1,35.7
PDCdb_upp_cpu_peak,13.7,13.4,13.8
PDCdb_upp_cpu_avg,11.5,11.4,11.7
PDCdb_PGW_requests_s,3066,3062,3063
/PDCdb_PGW_contexts,1094000,1095000,1095000
PDCdb_PDP_contexts,275500,274700,274700
PDCdb_SGW_S4S11_requests_s,3250,3246,3248
PDCdb_SGW_contexts,846300,846600,846800
PDCdb_SGW_S5S8_requests_s,1774,1772,1772
PDCdb_ssc_psc_mem_max,14085.76,14060.88,14101.19
PDCdb_ssc_psc_mem_avg,14013.79,13994.65,14039.66
PDCdb_gsc_ssc_psc_mem_max,14907.96,14870.13,14903.37
PDCdb_gsc_ssc_psc_mem_avg,14832.9,14805.8,14743.14
PDCdb_upp_shmem_max,11723,11726.5,11725
PDCdb_upp_shmem_avg,11720.167,11724.067,11720.233
PDCdb_upp_mem_max,37103.73,37149.66,37142.9
PDCdb_upp_mem_avg,37094.74,37140.69,37132.43
PDCdb_PFCP_requests_second,7070.8,7061.3,7096
PDCdb_PFCP_sessions,2109228,2109594.1,2109832.7
PDCdb_Total_pps,2800000,2777000,2783000
PDCdb_downlink_pps,1703000,1690000,1693000
PDCdb_uplink_pps,1096000,1088000,1090000
